                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.5356,                 1.3711,                 1.6459,                0.49354,                0.43404,                0.40853,                0.16936,                 2.0808,                  1.935,                 2.0104,             0.00066855,             0.00066855,             0.00066855
                    123,                 1.5143,                 1.3658,                  1.612,                0.55908,                0.39829,                0.42553,                0.17247,                  2.087,                  1.891,                 2.0085,              0.0006603,              0.0006603,              0.0006603
                    124,                  1.524,                 1.3563,                 1.6438,                0.46546,                0.43452,                 0.4064,                0.16253,                 2.1119,                 1.9166,                 2.0231,             0.00065205,             0.00065205,             0.00065205
                    125,                 1.5386,                 1.3742,                 1.6434,                0.49073,                0.40741,                0.39935,                0.16247,                 2.0991,                 1.9297,                 2.0289,              0.0006438,              0.0006438,              0.0006438
                    126,                 1.5346,                 1.3872,                 1.6555,                0.52102,                0.39846,                0.40079,                0.16446,                 2.0903,                  1.942,                   2.03,             0.00063554,             0.00063554,             0.00063554
                    127,                  1.523,                 1.3507,                 1.6351,                0.53193,                0.39785,                  0.405,                0.15669,                 2.1552,                 1.9334,                 2.0622,             0.00062729,             0.00062729,             0.00062729
                    128,                 1.4966,                 1.3055,                 1.6169,                0.50539,                0.40378,                0.41362,                 0.1667,                 2.1292,                  1.916,                 2.0444,             0.00061904,             0.00061904,             0.00061904
                    129,                 1.5163,                 1.3031,                 1.6448,                0.52716,                0.39348,                0.41056,                0.16279,                 2.1529,                 1.9946,                 2.0664,             0.00061079,             0.00061079,             0.00061079
                    130,                 1.4858,                 1.2871,                 1.6067,                0.51502,                0.39307,                0.40593,                0.17218,                 2.0967,                 1.8921,                 2.0329,             0.00060254,             0.00060254,             0.00060254
                    131,                 1.5093,                 1.3024,                 1.6409,                0.52423,                0.39352,                0.39125,                0.15943,                  2.109,                 1.9703,                  2.034,             0.00059429,             0.00059429,             0.00059429
                    132,                  1.503,                 1.2973,                 1.6201,                0.48284,                0.42559,                0.40594,                0.17471,                 2.0706,                 1.8805,                 2.0031,             0.00058603,             0.00058603,             0.00058603
                    133,                 1.4943,                 1.2752,                 1.5968,                0.49514,                0.40325,                0.39105,                0.16192,                 2.1171,                 1.9536,                 2.0473,             0.00057778,             0.00057778,             0.00057778
                    134,                 1.5019,                 1.2976,                  1.625,                0.58407,                0.39959,                0.41693,                0.16888,                  2.109,                 1.9341,                 2.0215,             0.00056953,             0.00056953,             0.00056953
                    135,                 1.4987,                  1.308,                 1.6218,                0.50692,                0.41903,                0.41064,                 0.1794,                 2.0752,                 1.9155,                 2.0095,             0.00056128,             0.00056128,             0.00056128
                    136,                 1.5101,                 1.2838,                 1.6177,                0.46941,                0.42021,                0.38972,                 0.1543,                 2.1732,                   1.99,                 2.0766,             0.00055303,             0.00055303,             0.00055303
                    137,                 1.5038,                 1.2907,                 1.6093,                0.49698,                0.41223,                0.40539,                0.16571,                 2.1418,                 1.9615,                 2.0728,             0.00054478,             0.00054478,             0.00054478
                    138,                 1.4755,                 1.2533,                 1.6168,                0.48923,                0.40243,                0.38706,                0.15867,                 2.1679,                 1.9825,                 2.0862,             0.00053652,             0.00053652,             0.00053652
                    139,                 1.5067,                 1.2715,                 1.6153,                0.51155,                0.39434,                0.40663,                0.17142,                 2.0939,                 1.9396,                 2.0293,             0.00052827,             0.00052827,             0.00052827
                    140,                 1.4769,                  1.305,                 1.6081,                0.53333,                0.38884,                0.40618,                 0.1724,                 2.0699,                 2.0009,                 2.0258,             0.00052002,             0.00052002,             0.00052002
                    141,                 1.4839,                 1.2287,                  1.608,                0.55707,                0.38534,                0.41303,                0.17584,                 2.0646,                 1.9175,                 2.0333,             0.00051177,             0.00051177,             0.00051177
                    142,                 1.4755,                  1.251,                 1.6031,                0.49205,                0.42334,                0.41978,                 0.1722,                 2.0689,                 1.8657,                 2.0011,             0.00050352,             0.00050352,             0.00050352
                    143,                   1.45,                 1.2324,                 1.5913,                0.52823,                0.39468,                 0.3986,                0.16853,                 2.1313,                  1.951,                 2.0673,             0.00049527,             0.00049527,             0.00049527
                    144,                 1.4794,                 1.2236,                 1.6104,                0.50386,                0.42126,                0.41621,                0.16972,                 2.1338,                 1.8902,                 2.0352,             0.00048701,             0.00048701,             0.00048701
                    145,                 1.4446,                 1.1836,                  1.557,                0.53905,                0.40958,                0.41624,                0.16918,                 2.1188,                  1.871,                 2.0372,             0.00047876,             0.00047876,             0.00047876
                    146,                 1.4517,                 1.2291,                 1.5796,                0.50042,                0.38831,                0.39699,                 0.1614,                 2.1764,                 1.9282,                 2.0849,             0.00047051,             0.00047051,             0.00047051
                    147,                 1.4506,                 1.2388,                 1.5751,                0.52639,                0.40222,                 0.4088,                  0.169,                 2.1399,                 1.9324,                 2.0581,             0.00046226,             0.00046226,             0.00046226
